0,1,2,3,4,6,8,9,10,12,24,36,48,60,72,96,144,168,192
0,,,,,,,,,,2500,,1000,,,0,,,0
0,100,,,,1100,,,,,2000,,1600,,1250,,,,
,,,,,,,,,,750,,95,,,,,,
100,,,,,,,,450,,,450,,,,,,,
250,,,,,,,,,,750,,500,,250,,,,
,,,,,,,,,,590,,,,,,,,
,,,,,,,,,,2900,,6000,,,,,,
,,,,,,,,,,,,,,300,,,,
,,,,,,,,,,2200,,,,,,,,
,,,,,,,,,,205,,,,,,,,
350,,,,,450,,,,500,650,,720,,900,,,600,
0,,,,,,,,450,,,250,,,,,,,
12.5,,,,500,,900,,,,,,,,,,,,
2000,,,,,,,,,,12000,,12000,,,12000,,,
,,,,,,,,,,,,1750,,,4000,13000,,
,,,,,,,,,,,,1250,,,2500,2000,,15000
